KRT16P4,ENSG00000229526
DGAT1,ENSG00000185000
KCNH6,ENSG00000173826
KCNH8,ENSG00000183960
STX8,ENSG00000170310
FBXO16,ENSG00000214050
STX7,ENSG00000079950
C21ORF58,ENSG00000160298
FBXO15,ENSG00000141665
FBXO10,ENSG00000147912
FBXO11,ENSG00000138081
PIAS2,ENSG00000078043
PIAS1,ENSG00000033800
LENEP,ENSG00000163352
LENG1,ENSG00000278426
MINPP1,ENSG00000107789
DMTF1,ENSG00000135164
PKP2,ENSG00000057294
PKP1,ENSG00000081277
PKP4,ENSG00000144283
PKP3,ENSG00000184363
C21ORF62,ENSG00000205929
BLK,ENSG00000136573
BLM,ENSG00000197299
KCNE1,ENSG00000180509
KCNE2,ENSG00000159197
KCNE3,ENSG00000175538
KCNE4,ENSG00000152049
ZC4H2,ENSG00000126970
KCNE5,ENSG00000176076
IREB2,ENSG00000136381
FBXO47,ENSG00000204952
GSTT2,ENSG00000099984
FBXO48,ENSG00000204923
FBXO45,ENSG00000174013
FBXO46,ENSG00000177051
FBXO43,ENSG00000156509
NPAS1,ENSG00000130751
FBXO44,ENSG00000132879
NPAS2,ENSG00000170485
CCDC144A,ENSG00000170160
FBXO41,ENSG00000163013
FBXO42,ENSG00000037637
NPAS3,ENSG00000151322
FBXO40,ENSG00000163833
MBIP,ENSG00000151332
BMF,ENSG00000104081
NEK8,ENSG00000160602
KCNF1,ENSG00000162975
NEK9,ENSG00000119638
SDF2L1,ENSG00000128228
NEK4,ENSG00000114904
RASL10A,ENSG00000100276
NEK5,ENSG00000197168
TNFRSF9,ENSG00000049249
NEK6,ENSG00000119408
FBXO38,ENSG00000145868
HTR1D,ENSG00000179546
STYX,ENSG00000198252
NEK7,ENSG00000151414
FBXO39,ENSG00000177294
HTR1A,ENSG00000178394
FBXO36,ENSG00000153832
FBXO34,ENSG00000178974
CSNK1G2-AS1,ENSG00000180846
BMX,ENSG00000102010
FBXO32,ENSG00000156804
FBXO33,ENSG00000165355
FBXO30,ENSG00000118496
FBXO31,ENSG00000103264
FAM90A1,ENSG00000171847
DRAP1,ENSG00000175550
CELP,ENSG00000170827
MNAT1,ENSG00000020426
BCAR3,ENSG00000137936
KCNK5,ENSG00000164626
PIWIL2,ENSG00000197181
PIWIL1,ENSG00000125207
KCNK6,ENSG00000099337
ALAS2,ENSG00000158578
KCNK7,ENSG00000173338
PIWIL4,ENSG00000134627
ALAS1,ENSG00000023330
PIWIL3,ENSG00000184571
ONECUT2,ENSG00000119547
ONECUT3,ENSG00000205922
ONECUT1,ENSG00000169856
HTR2B,ENSG00000135914
HTR2C,ENSG00000147246
PPWD1,ENSG00000113593
NENF,ENSG00000117691
TNFSF13B,ENSG00000102524
ZNF402P,ENSG00000220248
BOC,ENSG00000144857
C21ORF91,ENSG00000154642
SPDL1,ENSG00000040275
NEO1,ENSG00000067141
BCAS2,ENSG00000116752
BOK,ENSG00000176720
MBL2,ENSG00000165471
BCAS1,ENSG00000064787
SLC36A1,ENSG00000123643
BCAS4,ENSG00000124243
BCAS3,ENSG00000141376
SLC36A2,ENSG00000186335
PIANP,ENSG00000139200
ASTN2-AS1,ENSG00000229105
VPS13C,ENSG00000129003
HTR3E,ENSG00000186038
DHPS,ENSG00000095059
VPS13D,ENSG00000048707
VPS13A,ENSG00000197969
HTR3D,ENSG00000186090
VPS13B,ENSG00000132549
HTR3B,ENSG00000149305
CCDC183-AS1,ENSG00000228544
RABGGTB,ENSG00000137955
RABGGTA,ENSG00000285193
NEMF,ENSG00000165525
C1D,ENSG00000197223
BCAT1,ENSG00000060982
BCAT2,ENSG00000105552
C1S,ENSG00000182326
C1R,ENSG00000159403
LRTM2,ENSG00000166159
LRTM1,ENSG00000144771
LENG8,ENSG00000276458
U2AF1,ENSG00000160201
IL2RG,ENSG00000147168
DRAM1,ENSG00000136048
AWAT1,ENSG00000204195
U2AF2,ENSG00000063244
AWAT2,ENSG00000147160
DRAM2,ENSG00000156171
KCNJ1,ENSG00000151704
TSPOAP1,ENSG00000005379
SLC36A4,ENSG00000180773
KCNJ2,ENSG00000123700
KCNJ3,ENSG00000162989
KCNJ4,ENSG00000168135
KCNJ5,ENSG00000120457
KCNJ6,ENSG00000157542
COL26A1,ENSG00000160963
KCNJ8,ENSG00000121361
GPKOW,ENSG00000068394
KCNJ9,ENSG00000162728
TRDJ2,ENSG00000211827
TRDJ3,ENSG00000211828
TRDJ1,ENSG00000211825
GSTZ1,ENSG00000100577
IL2RA,ENSG00000134460
IL2RB,ENSG00000100385
KCNK1,ENSG00000135750
KCNK2,ENSG00000082482
KCNK3,ENSG00000171303
BCAR1,ENSG00000285460
KCNK4,ENSG00000182450
SLC23A3,ENSG00000213901
SLC23A2,ENSG00000089057
CERK,ENSG00000100422
SLC23A1,ENSG00000170482
NOP56P2,ENSG00000226626
LGALSL,ENSG00000119862
CCP110,ENSG00000103540
PEX26,ENSG00000215193
C4B,ENSG00000224389
LGALS4,ENSG00000171747
LGALS3,ENSG00000131981
LGALS2,ENSG00000100079
LGALS1,ENSG00000100097
MCIDAS,ENSG00000234602
IL36B,ENSG00000136696
FOXD3-AS1,ENSG00000230798
BSG,ENSG00000172270
LGALS9,ENSG00000168961
ATXN7L1,ENSG00000146776
LGALS8,ENSG00000116977
BSN,ENSG00000164061
ATXN7L2,ENSG00000162650
LGALS7,ENSG00000205076
INHBA-AS1,ENSG00000224116
ATXN7L3,ENSG00000087152
CER1,ENSG00000147869
PSMD10P3,ENSG00000232041
LIMCH1,ENSG00000064042
GOLPH3L,ENSG00000143457
BTC,ENSG00000174808
BTD,ENSG00000169814
CFDP1,ENSG00000153774
SOAT1,ENSG00000057252
CRISPLD1,ENSG00000121005
SOAT2,ENSG00000167780
CRISPLD2,ENSG00000103196
KCNQ1,ENSG00000282076
NINJ2,ENSG00000171840
SUB1,ENSG00000113387
KCNQ2,ENSG00000281151
NINJ1,ENSG00000131669
BTK,ENSG00000010671
KCNQ3,ENSG00000184156
KCNQ4,ENSG00000117013
KCNQ5,ENSG00000185760
CES3,ENSG00000172828
CES2,ENSG00000172831
CES1,ENSG00000198848
CETP,ENSG00000087237
GRB7,ENSG00000141738
DHX8,ENSG00000067596
DHX9,ENSG00000135829
RRAD,ENSG00000166592
ZBTB1,ENSG00000126804
ZBTB5,ENSG00000168795
ZBTB4,ENSG00000174282
ZBTB3,ENSG00000185670
CFAP126,ENSG00000188931
ZBTB2,ENSG00000181472
NEU2,ENSG00000115488
PKHD1,ENSG00000170927
NKAIN2,ENSG00000188580
NEU3,ENSG00000162139
NKAIN1,ENSG00000084628
NKAIN4,ENSG00000101198
NEU4,ENSG00000277926
MRNIP,ENSG00000283918
NKAIN3,ENSG00000185942
RRAS,ENSG00000126458
RACGAP1,ENSG00000161800
NEU1,ENSG00000227315
KCNN1,ENSG00000105642
KCNN2,ENSG00000080709
KCNN3,ENSG00000143603
KCNN4,ENSG00000104783
BBS2,ENSG00000125124
SLC10A4,ENSG00000145248
NTNG1,ENSG00000162631
BBS1,ENSG00000174483
NTNG2,ENSG00000196358
XBP1,ENSG00000100219
SLC10A6,ENSG00000145283
YES1,ENSG00000176105
SLC10A7,ENSG00000120519
MAP1LC3BP1,ENSG00000231909
TRDV2,ENSG00000211821
SLC10A1,ENSG00000100652
SLC10A3,ENSG00000126903
SUCO,ENSG00000094975
IL36G,ENSG00000136688
NET1,ENSG00000173848
ZBTB9,ENSG00000213588
PEX5L,ENSG00000114757
ZBTB6,ENSG00000186130
FAM30A,ENSG00000226777
SPDYA,ENSG00000163806
GRB2,ENSG00000177885
GRAP,ENSG00000154016
OR7E46P,ENSG00000234485
OSBPL10-AS1,ENSG00000232490
TFB1M,ENSG00000029639
MC4R,ENSG00000166603
C8G,ENSG00000176919
KCNT1,ENSG00000107147
SUFU,ENSG00000107882
BBS9,ENSG00000122507
BBS7,ENSG00000138686
FOCAD-AS1,ENSG00000227071
BBS5,ENSG00000163093
BBS4,ENSG00000140463
PCYT1B,ENSG00000102230
ZHX2,ENSG00000178764
FCER1G,ENSG00000158869
PCYT1A,ENSG00000161217
ZHX3,ENSG00000174306
AGTRAP,ENSG00000177674
CACYBP,ENSG00000116161
TFB2M,ENSG00000162851
ZHX1,ENSG00000165156
RNF144A,ENSG00000151692
RNF144B,ENSG00000137393
PITPNM1,ENSG00000110697
PITPNM3,ENSG00000091622
PITPNM2,ENSG00000090975
TAX1BP1,ENSG00000106052
FAM193B,ENSG00000146067
FAM32A,ENSG00000105058
TAX1BP3,ENSG00000213977
FAM193A,ENSG00000125386
SSNA1,ENSG00000176101
NEXN,ENSG00000162614
ZFX-AS1,ENSG00000234230
PEX16,ENSG00000121680
KRT87P,ENSG00000135477
PEX19,ENSG00000162735
KLHL2,ENSG00000109466
PEX10,ENSG00000157911
KLHL3,ENSG00000146021
KCNRG,ENSG00000198553
KLHL4,ENSG00000102271
PEX12,ENSG00000108733
CFAP157,ENSG00000160401
PEX13,ENSG00000162928
MIR450A1,ENSG00000199132
PEX14,ENSG00000142655
MIR450A2,ENSG00000207755
KLHL9,ENSG00000198642
ETAA1,ENSG00000143971
TFAP4,ENSG00000090447
KCNS1,ENSG00000124134
KLHL5,ENSG00000109790
KCNS2,ENSG00000156486
KLHL6,ENSG00000172578
KCNS3,ENSG00000170745
KLHL7,ENSG00000122550
KLHL8,ENSG00000145332
CFAP161,ENSG00000156206
SNORA58B,ENSG00000201129
INPPL1,ENSG00000165458
PLAT,ENSG00000104368
PLB1,ENSG00000163803
IGF1R,ENSG00000140443
TXN2,ENSG00000100348
PPIP5K1,ENSG00000168781
RNU6-517P,ENSG00000207090
PLAU,ENSG00000122861
PPIP5K2,ENSG00000145725
ENPP1,ENSG00000197594
ENPP4,ENSG00000001561
SAMM50P1,ENSG00000224488
ENPP3,ENSG00000154269
ENPP6,ENSG00000164303
ENPP5,ENSG00000112796
ENPP7,ENSG00000182156
CARD10,ENSG00000100065
CPSF1P1,ENSG00000214076
ADAM11,ENSG00000073670
ADAM10,ENSG00000137845
NDFIP2-AS1,ENSG00000232132
DHDDS,ENSG00000117682
ADAM19,ENSG00000135074
ADAM18,ENSG00000278548
ADAM17,ENSG00000151694
BRMS1,ENSG00000174744
ADAM15,ENSG00000143537
CARD19,ENSG00000165233
ADAM12,ENSG00000148848
PLAA,ENSG00000137055
CARD16,ENSG00000204397
CARD14,ENSG00000141527
CARD11,ENSG00000198286
HTRA3,ENSG00000170801
HTRA4,ENSG00000169495
PLD5,ENSG00000180287
HTRA1,ENSG00000166033
PLD4,ENSG00000166428
DAPP1,ENSG00000070190
HTRA2,ENSG00000115317
PLD6,ENSG00000179598
PLD1,ENSG00000075651
PLD3,ENSG00000105223
PLD2,ENSG00000129219
NME1-NME2,ENSG00000011052
KCNV1,ENSG00000164794
GRK3,ENSG00000100077
RNU6-519P,ENSG00000222522
GRK2,ENSG00000173020
GRK5,ENSG00000198873
GRK4,ENSG00000125388
GRK7,ENSG00000114124
GRK6,ENSG00000198055
PIBF1,ENSG00000083535
FAM199X,ENSG00000123575
IGF2R,ENSG00000197081
BSPRY,ENSG00000119411
RBM22P3,ENSG00000226485
SPINK13,ENSG00000214510
SPINK14,ENSG00000196800
ZMYND15,ENSG00000141497
ZMYND19,ENSG00000165724
PLEK,ENSG00000115956
GRM1,ENSG00000152822
PITPNC1,ENSG00000154217
GRM3,ENSG00000198822
GRM2,ENSG00000164082
GRM5,ENSG00000168959
GRM4,ENSG00000124493
CA3,ENSG00000164879
GRM7,ENSG00000196277
ZIC2,ENSG00000043355
CA2,ENSG00000104267
GRM6,ENSG00000113262
CA4,ENSG00000167434
GRM8,ENSG00000179603
MIR103A2,ENSG00000199024
CA6,ENSG00000131686
MIR103A1,ENSG00000199035
CA9,ENSG00000107159
MYBL2,ENSG00000101057
RNU6-646P,ENSG00000201441
CA8,ENSG00000178538
MYBL1,ENSG00000185697
SUN3,ENSG00000164744
SUN2,ENSG00000100242
SUN1,ENSG00000164828
ATP6AP1,ENSG00000071553
CAD,ENSG00000084774
ATP6AP2,ENSG00000182220
ELF1,ENSG00000120690
CFAP100,ENSG00000163885
ELF2,ENSG00000109381
ELF3,ENSG00000163435
GFOD1,ENSG00000145990
ELF4,ENSG00000102034
ELF5,ENSG00000135374
CAT,ENSG00000121691
GFOD2,ENSG00000141098
RNU6-645P,ENSG00000201519
ZMYND10,ENSG00000004838
ZMYND11,ENSG00000015171
ZMYND12,ENSG00000066185
SDCBPP3,ENSG00000232801
SHANK2,ENSG00000162105
PLEC,ENSG00000178209
SHANK1,ENSG00000161681
SDCBPP1,ENSG00000226705
KRT17P3,ENSG00000231870
RRN3,ENSG00000085721
CBL,ENSG00000110395
SV2C,ENSG00000122012
CBS,ENSG00000160200
SV2A,ENSG00000159164
TBX21,ENSG00000073861
TBX20,ENSG00000164532
CLVS1,ENSG00000177182
RRM1,ENSG00000167325
RRM2,ENSG00000171848
CCK,ENSG00000187094
ZIC4,ENSG00000174963
ZIC5,ENSG00000139800
HS3ST6,ENSG00000162040
SUOX,ENSG00000139531
TBX19,ENSG00000143178
HS3ST4,ENSG00000182601
HS3ST1,ENSG00000002587
HS3ST2,ENSG00000122254
TBX15,ENSG00000092607
CD4,ENSG00000010610
CCS,ENSG00000173992
CD6,ENSG00000013725
CD5,ENSG00000110448
CD7,ENSG00000173762
CD9,ENSG00000010278
RNU6-514P,ENSG00000206935
MNX1-AS2,ENSG00000235029
CDA,ENSG00000158825
VPS29,ENSG00000111237
FRMPD3,ENSG00000147234
FRMPD4,ENSG00000169933
RRP1,ENSG00000160214
GRPR,ENSG00000126010
ELK1,ENSG00000126767
RRP8,ENSG00000132275
ELK3,ENSG00000111145
RRP9,ENSG00000114767
ELK4,ENSG00000158711
ALCAM,ENSG00000170017
SCN11A,ENSG00000168356
RNU1-146P,ENSG00000200885
VPS35,ENSG00000069329
VPS36,ENSG00000136100
VPS39,ENSG00000166887
VPS18,ENSG00000104142
RPL36AP29,ENSG00000224683
CLEC11A,ENSG00000105472
HUS1,ENSG00000136273
CEL,ENSG00000170835
NUP93,ENSG00000102900
BCAN,ENSG00000132692
BCAM,ENSG00000187244
KRTAP4-12,ENSG00000263236
HECW2,ENSG00000138411
KRTAP4-11,ENSG00000212721
HECW1,ENSG00000002746
RNU6-665P,ENSG00000207369
TARS2,ENSG00000143374
SRFBP1,ENSG00000151304
NUP98,ENSG00000110713
SNORA50A,ENSG00000281910
VPS25,ENSG00000131475
VPS28,ENSG00000160948
RNF216P1,ENSG00000196204
CFD,ENSG00000274619
CFH,ENSG00000289697
PLEKHA8P1,ENSG00000134297
CFI,ENSG00000205403
CFP,ENSG00000126759
RRP7A,ENSG00000189306
NUP85,ENSG00000125450
ST3GAL4,ENSG00000110080
VPS11,ENSG00000280616
RRS1,ENSG00000179041
ST3GAL5,ENSG00000115525
NUP88,ENSG00000108559
ST3GAL6,ENSG00000064225
ST3GAL1,ENSG00000008513
ST3GAL2,ENSG00000157350
ST3GAL3,ENSG00000126091
VPS16,ENSG00000215305
PLK4,ENSG00000142731
LRRC37A3,ENSG00000176809
PLK3,ENSG00000173846
NFE2,ENSG00000123405
ARL14EP,ENSG00000152219
NFE4,ENSG00000230257
PLK5,ENSG00000185988
APOOL,ENSG00000155008
GTF2IRD2,ENSG00000196275
MCAM,ENSG00000076706
PLK2,ENSG00000145632
PLK1,ENSG00000166851
CGN,ENSG00000143375
ELL2,ENSG00000118985
MCAT,ENSG00000100294
ELL3,ENSG00000128886
GTF2IRD1,ENSG00000006704
RNU6-401P,ENSG00000212374
RNU6-534P,ENSG00000201747
BPIFC,ENSG00000184459
RSPH10B,ENSG00000155026
MOCS2,ENSG00000164172
MOCS3,ENSG00000124217
CHM,ENSG00000188419
MTND1P11,ENSG00000228166
MTND1P14,ENSG00000227225
STON2,ENSG00000140022
FGD5-AS1,ENSG00000225733
MCEE,ENSG00000124370
ELOA,ENSG00000011007
ELOB,ENSG00000103363
ELOC,ENSG00000154582
RRP12,ENSG00000052749
RNU6-662P,ENSG00000206980
CIC,ENSG00000079432
RRP15,ENSG00000067533
ZIK1,ENSG00000171649
EDARADD,ENSG00000186197
RPS6KL1,ENSG00000198208
EXOC8,ENSG00000116903
PLLP,ENSG00000102934
EXOC7,ENSG00000182473
RNU1-149P,ENSG00000212172
CIT,ENSG00000122966
PCOTH,ENSG00000205861
PLIN4,ENSG00000167676
EXOC4,ENSG00000131558
PLIN3,ENSG00000105355
EXOC3,ENSG00000180104
PLIN2,ENSG00000147872
EXOC6,ENSG00000138190
PLIN1,ENSG00000166819
EXOC5,ENSG00000070367
RCCD1,ENSG00000166965
MOCS1,ENSG00000124615
RNU6-661P,ENSG00000199279
EXOC2,ENSG00000112685
PLIN5,ENSG00000214456
EXOC1,ENSG00000090989
NFIX,ENSG00000008441
DCAF12L2,ENSG00000198354
DCAF12L1,ENSG00000198889
PRUNE2,ENSG00000106772
MTND1P34,ENSG00000225514
PRUNE1,ENSG00000143363
METTL21A,ENSG00000144401
MTND1P32,ENSG00000232282
APOL5,ENSG00000277390
APOL4,ENSG00000100336
METTL21C,ENSG00000139780
APOL6,ENSG00000221963
MTND1P27,ENSG00000223921
RASSF10,ENSG00000189431
MTND1P26,ENSG00000234576
MTND1P28,ENSG00000230158
RNU6-797P,ENSG00000199971
RRP36,ENSG00000124541
CKB,ENSG00000166165
APOL1,ENSG00000100342
PAIP2,ENSG00000120727
APOL3,ENSG00000128284
RNU6-664P,ENSG00000199251
PAIP1,ENSG00000172239
APOL2,ENSG00000128335
HIPK4,ENSG00000160396
CKM,ENSG00000104879
ARHGEF9-IT1,ENSG00000231729
MCF2,ENSG00000101977
MOCOS,ENSG00000075643
ELP1,ENSG00000070061
MTND1P23,ENSG00000225972
RFLNB,ENSG00000183688
G0S2,ENSG00000123689
ELP2,ENSG00000134759
ELP3,ENSG00000134014
RRP1B,ENSG00000160208
ELP4,ENSG00000109911
HIPK1,ENSG00000163349
ELP5,ENSG00000170291
ELP6,ENSG00000163832
HIPK3,ENSG00000110422
MTND1P20,ENSG00000226794
HIPK2,ENSG00000064393
RPL4P2,ENSG00000232341
RPL4P3,ENSG00000230364
RPL4P4,ENSG00000229638
RPL4P5,ENSG00000230207
RPL4P6,ENSG00000230071
NFIA,ENSG00000162599
NFIB,ENSG00000147862
NFIC,ENSG00000141905
PLP1,ENSG00000123560
FOSB,ENSG00000125740
PLP2,ENSG00000102007
TMEM229A,ENSG00000234224
RNU6-796P,ENSG00000212388
TMEM229B,ENSG00000198133
CLU,ENSG00000120885
LCLAT1,ENSG00000172954
THG1L,ENSG00000113272
MT1DP,ENSG00000291095
PODNL1,ENSG00000288195
CFL2,ENSG00000165410
CFL1,ENSG00000172757
PLS3,ENSG00000102024
OIP5,ENSG00000104147
IL13RA2,ENSG00000123496
IL13RA1,ENSG00000131724
PLS1,ENSG00000120756
RNU6-790P,ENSG00000207208
KCMF1,ENSG00000176407
IFNA11P,ENSG00000231195
COL27A1,ENSG00000196739
FKBPL,ENSG00000224200
DIO1,ENSG00000211452
DIO2,ENSG00000211448
DIO3,ENSG00000197406
MIRLET7I,ENSG00000199179
MIRLET7G,ENSG00000199150
MIRLET7D,ENSG00000199133
LEMD3,ENSG00000174106
FAM91A1,ENSG00000176853
LEMD2,ENSG00000161904
LEMD1,ENSG00000186007
TOM1L1,ENSG00000141198
TOM1L2,ENSG00000175662
MTNR1A,ENSG00000168412
OBSCN,ENSG00000154358
FKBP8,ENSG00000105701
FKBP7,ENSG00000079150
FKBP9,ENSG00000122642
FKBP4,ENSG00000004478
FKBP3,ENSG00000100442
FKBP6,ENSG00000077800
FKBP5,ENSG00000096060
FKBP2,ENSG00000173486
RNU6-660P,ENSG00000201436
CNP,ENSG00000173786
CD300LB,ENSG00000178789
PLTP,ENSG00000100979
CD300LG,ENSG00000161649
MCL1,ENSG00000143384
RNU1-140P,ENSG00000201910
TCEANC,ENSG00000176896
BCL9,ENSG00000116128
UBOX5,ENSG00000185019
BCL6,ENSG00000113916
CPD,ENSG00000108582
BCL3,ENSG00000069399
BCL2,ENSG00000171791
CPE,ENSG00000109472
PGPEP1L,ENSG00000183571
SLC48A1,ENSG00000211584
OSCP1,ENSG00000116885
CPM,ENSG00000135678
CPO,ENSG00000144410
MCM7,ENSG00000166508
COL14A1,ENSG00000187955
CPQ,ENSG00000104324
MCM8,ENSG00000125885
ZC3H4,ENSG00000130749
ZC3H3,ENSG00000014164
MCM9,ENSG00000111877
ZC3H8,ENSG00000144161
ZC3H6,ENSG00000188177
CPZ,ENSG00000109625
KBTBD12,ENSG00000187715
SRIP3,ENSG00000224953
VPS72,ENSG00000163159
CEP170B,ENSG00000099814
EVI5L,ENSG00000142459
OIT3,ENSG00000138315
CR2,ENSG00000117322
GGPS1,ENSG00000152904
SGIP1,ENSG00000118473
DIS3,ENSG00000083520
APOA2,ENSG00000158874
APOA1,ENSG00000118137
SAPCD2,ENSG00000186193
SAPCD1,ENSG00000228727
CRH,ENSG00000147571
MCM3,ENSG00000112118
MCM4,ENSG00000104738
MCM5,ENSG00000100297
MCM6,ENSG00000076003
CRK,ENSG00000167193
MCM2,ENSG00000073111
HDAC4,ENSG00000068024
HDAC5,ENSG00000108840
CEBPB,ENSG00000172216
HDAC2,ENSG00000196591
HDAC3,ENSG00000171720
CEBPD,ENSG00000221869
CEBPE,ENSG00000092067
HDAC1,ENSG00000116478
VPS4B,ENSG00000119541
CEBPG,ENSG00000153879
VPS4A,ENSG00000132612
CRX,ENSG00000105392
TULP4,ENSG00000130338
TULP3,ENSG00000078246
TULP2,ENSG00000104804
TULP1,ENSG00000112041
C1RL-AS1,ENSG00000205885
HDAC8,ENSG00000147099
HDAC9,ENSG00000048052
HDAC6,ENSG00000094631
HDAC7,ENSG00000061273
STOX2,ENSG00000173320
HECTD1,ENSG00000092148
VPS51,ENSG00000149823
HECTD2,ENSG00000165338
HECTD3,ENSG00000126107
VPS50,ENSG00000004766
SVBP,ENSG00000177868
HECTD4,ENSG00000173064
VPS53,ENSG00000141252
VPS52,ENSG00000228425
IL21R,ENSG00000103522
VPS54,ENSG00000143952
XIRP2,ENSG00000163092
CSK,ENSG00000103653
BCO2,ENSG00000197580
BCO1,ENSG00000135697
STOX1,ENSG00000165730
SLC35A2,ENSG00000102100
SLC35A1,ENSG00000164414
MGME1,ENSG00000125871
SLC35A4,ENSG00000176087
ITGA9-AS1,ENSG00000235257
SLC35A3,ENSG00000283761
RPL36AP48,ENSG00000213180
APOC3,ENSG00000110245
APOBR,ENSG00000184730
KBTBD11,ENSG00000176595
CPPED1,ENSG00000103381
ASXL1,ENSG00000171456
MAB21L3,ENSG00000173212
EVI2A,ENSG00000126860
APOC2,ENSG00000234906
CTH,ENSG00000116761
ASXL3,ENSG00000141431
APOC1,ENSG00000130208
MAB21L2,ENSG00000181541
ASXL2,ENSG00000143970
VPS41,ENSG00000006715
CEBPZ,ENSG00000115816
VPS45,ENSG00000136631
BCOR,ENSG00000183337
EVI2B,ENSG00000185862
SLC35B3,ENSG00000124786
SLC35B2,ENSG00000157593
IL1RN,ENSG00000136689
